ID,Country,Latitude,Longitude,Page,Battle,Year,Participants,War,Winner,Loser,Participant 1,Participant 2,Lehmann Zhukov Scale,Theatre,Polygon,Massacre,Alternative Sources Consulted,Infered Scale,Minor,Description
Aachen1944,Germany,50.7753455,6.0838868,1,Aachen,1944,"['American', 'German', 'Hurtgen']",['World War II'],United States,Germany,United States,Germany,3.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p827",,,"The Battle of Aachen was a battle of World War II, fought by American and German forces in and around Aachen, Germany, between 12 September and 21 October 1944. The city had been incorporated into the Siegfried Line, the main defensive network on Germany's western border; the Allies had hoped to capture it quickly and advance into the industrialized Ruhr Basin. Although most of Aachen's civilian population was evacuated before the battle began, much of the city was destroyed and both sides suffered heavy losses. "
Aardenburg1672,Netherlands,51.2742727,3.4453328,1,Aardenburg,1672,"['Spanish', 'Netherlands', 'French', 'Dutch', 'Zeeland', 'Aardenburg', 'Zeeland']",3rd Dutch War,Netherlands,France,Netherlands,France,,Land,,No,,,,No description available
Aa River1917,Latvia,56.8206989,23.5755013,1,Aa River,1917,"['German', 'Russian', 'Riga', 'Germans']",['World War I'],Germany,Russia,Germany,Russia,4.0,Land,,No,,1,,No description available
Aasle1389,Sweden,58.1775353,13.6869345,1,Aasle,1389,"['Denmark', 'Sweden', 'Aasle', 'Falkoping', 'Sweden', 'Denmark', 'Norway', 'Sweden']",Wars of Scandinavian Union,Denmark,Sweden,Denmark,Sweden,,Land,,No,,,,No description available
Abadan1980,Iran,30.347296,48.2934004,1,Abadan,1980,"['Khorramshahr', 'Iraqi', 'Arab', 'Iran', 'Iran', 'Iraqis', 'Iran']",['Iraq-Iran War'],Draw,,Iran,Iraq,3.0,Land,,No,"Clodfelter, Warfare and Armed Conflict, p588",1,,"The Siege of Abadan refers to the encirclement of the city by Iraqi forces beginning in November 1980. The city had already been under almost daily bombardment since the early days of the war, which began the previous September."
Abadan1981,Iran,30.347296,48.2934004,1,Abadan,1981,"['Susangerd', 'Irans', 'Iran', 'Iraqis']",['Iraq-Iran War'],Iran,Iraq,Iran,Iraq,3.0,Land,,No,"Clodfelter, Warfare and Armed Conflict, p588",,,"The Siege of Abadan refers to the encirclement of the city by Iraqi forces beginning in November 1980. The city had already been under almost daily bombardment since the early days of the war, which began the previous September."
Abagana1968,Nigeria,6.1864553,6.9799755,2,Abagana,1968,['Abagana'],['Biafran War'],Biafran Rebels,Nigeria,Biafran Rebels,Nigeria,1.0,Land,,No,,,,No description available
Abakrampa1873,Ghana,5.245212,-1.230904,2,Abakrampa,1873,"['British', 'Ghana', 'Essaman']",2nd British Ashanti War,United Kingdom,Ashanti,United Kingdom,Ashanti,,Land,,No,,,,No description available
Abancay1537,Peru,-13.6391954,-72.8929,2,Abancay,1537,"['Spanish', 'Peru', 'Spanish', 'Peru', 'Peru', 'Alonzo', 'Almagro', 'Pizarrist']",['Civil War'],Almagro Faction in Spanish Civil War,Pizzarists,Almagro Faction in Spanish Civil War,Pizzarists,,Land,,No,,,,"The Battle of Abancay took place during the Spanish conquest of Peru.  Alonso de Alvarado, sent by Francisco Pizarro to relieve the siege of Cusco, was camped at Jauja with five hundred men.  He guarded the bridge and a ford on the Rio de Abancay, awaiting Almagro's men.  However, the soldier Alvarado placed in command of the ford, Pedro de Lerma, deserted, allowing Almagro to capture Alvarado's force almost intact.: 257 "
Abbasabad1827,Iran,36.7240776,51.1141183,2,Abbasabad,1827,"['Russo', 'Russian', 'Persian', 'Persian']",Russo-Persian Wars,Russia,Persia,Russia,Persia,3.0,Land,,No,,,,No description available
Abeche1983,Chad,13.8359124,20.8433709,2,Abeche,1983,"['Libyan', 'Chad']",Chad Civil War,Chad,Chadian Rebels,Chad,Chadian Rebels,,Land,,No,,,,No description available
Abensberg1809,Germany,48.8177181,11.8507867,2,Abensberg,1809,"['Napoleonic', 'French', 'Spain', 'Bavaria', 'Austrians']",Napoleonic Wars (5th Coalition),France,Austria,France,Habsburg Empire,3.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p522; Harbottle's Dictionary of Battles, p86",,,"The Battle of Abensberg took place on 20 April 1809 between a Franco-German force under the command of Emperor Napoleon I of France and a reinforced Austrian corps led by Feldmarschall-Leutnant Archduke Louis of Austria. As the day wore on, Feldmarschall-Leutnant Johann von Hiller arrived with reinforcements to take command of the three corps that formed the Austrian left wing. The action ended in a complete Franco-German victory. The battlefield was southeast of Abensberg and included clashes at Offenstetten, Biburg-Siegenburg, Rohr in Niederbayern, and Rottenburg an der Laaber. On the same day, the French garrison of Regensburg capitulated."
Abercorn1455,United Kingdom,55.994843,-3.4746957,2,Abercorn,1455,"['Douglas', 'Scotland', 'Queensferry', 'England']",Douglas Rebellion,Scotland,Earl of Douglas,Scotland,Earl of Douglas,,Land,,No,,,,No description available
"Aberdare, Kenya1955",Kenya,-0.4145514,36.6661998,2,"Aberdare, Kenya",1955,"['Kenya', 'Kenya']",Mau Mau Rebellion,Draw,,United Kingdom,Mau Mau Rebels,2.0,Land,,No,"Clodfelter, Warfare and Armed Conflict, p560",1,,No description available
