ID,Country,Latitude,Longitude,Page,Battle,Year,Participants,War,Winner,Loser,Participant 1,Participant 2,Lehmann Zhukov Scale,Theatre,Polygon,Massacre,Alternative Sources Consulted,Infered Scale,Minor,Description
Acre1840,Israel,32.933052,35.082678,7,Acre,1840,"['Turko', 'Egyptian', 'Turkey', 'Nezib', 'Syria', 'Turkish', 'European', 'Beirut', 'British', 'Turkish']",2nd Turko-Egyptian War,"United Kingdom, Austria",Egypt,"United Kingdom, Austria",Egypt,2.0,Land and Sea,,No,"Encyclopedia of Warfare, Amber Books, London 2014, p594. Source states eight ships of the line involved. Ship of the line crew 600-800 approx. https://www.britannica.com/technology/ship-of-the-line",,,The Battle of Acre (also known as the Fourth Battle of Acre) occurred on 3 November 1840. 
Adobe Walls1864,United States,29.4035274,-103.6033842,10,Adobe Walls,1864,"['Texas', 'New Mexico']",Comanche Indian Wars,United States,Comanche Indians,United States,Comanche Indians,1.0,Land,,No,,"Encyclopedia of Warfare, Showalter, 2014, p606",,"Battle of Adobe Walls may refer to two battles occurring near Adobe Walls, Hutchinson County, Texas:"
Adobe Walls1874,United States,29.4035274,-103.6033842,10,Adobe Walls,1874,"['Kiowa', 'Texas', 'Indians']",['Indian War       '],United States,"Comanche Indians, Kiowa Indians, Arapaho Indians, Cheyenne Indians",United States,"Comanche Indians, Kiowa Indians, Arapaho Indians, Cheyenne Indians",1.0,Land,,No,,"Encyclopedia of Warfare, Showalter, 2014, p610-611",,"Battle of Adobe Walls may refer to two battles occurring near Adobe Walls, Hutchinson County, Texas:"
Agra1713,India,27.1766701,78.0080745,15,Agra,1713,"['India', 'Sayyid']",Mughal Wars of Succession,Mughal Rebel Farokshin,Padshah Jahandar Shah,,,3.0,Land,,No,"Harbottle's Dictionary of Battles, George Bruce, 1979, p12",,,The Battle of Agra was a comparatively minor but nevertheless decisive action at the end of a prolonged siege during the Indian Rebellion of 1857.
Agra1787-1788,India,27.1766701,78.0080745,15,Agra,1787,['Mughal'],Mughal-Maratha War,Marathas,"Ismail Beg, Rohillas",,,,Land,,No,,,,The Battle of Agra was a comparatively minor but nevertheless decisive action at the end of a prolonged siege during the Indian Rebellion of 1857.
Agra1799,India,27.1766701,78.0080745,15,Agra,1799,[],Maratha Territorial Wars,Marathas,Maratha Governor of Agra,,,,Land,,No,,,,The Battle of Agra was a comparatively minor but nevertheless decisive action at the end of a prolonged siege during the Indian Rebellion of 1857.
Agra1803,India,27.1766701,78.0080745,15,Agra,1803,['British'],2nd British-Maratha War,United Kingdom,Marathas,,,3.0,Land,,No,"The Anglo-Maratha Campaigns and the Contest for India, Randolf Cooper, p180, Appendix II",,,The Battle of Agra was a comparatively minor but nevertheless decisive action at the end of a prolonged siege during the Indian Rebellion of 1857.
Agra1857,India,27.1766701,78.0080745,16,Agra,1857,"['Indian', 'Delhi', 'Shahganj', 'Agra']",Indian Mutiny,United Kingdom,Indian Rebels,,,2.0,Land,,No,"Harbottle's Dictionary of Battles, George Bruce, 1979, p12. British forces of four battalions of infantry plus two regiments of cavalry implies around 10,000 men. Mutineers said to be 7,000 strong",,,The Battle of Agra was a comparatively minor but nevertheless decisive action at the end of a prolonged siege during the Indian Rebellion of 1857.
Aisne-57,France,49.4769199,3.4417368,19,Aisne,-57,"['Germans', 'Rome']",Rome's Later Gallic Wars,Rome,Suessiones,,,3.0,Land,,No,"Warfare in the Classical World, John Warry, 1980, p161",,,The Battle of the Aisne is the name of three battles fought along the Aisne River in northern France during the First World War.
Aisne1914,France,49.4765586,3.3547166,19,Aisne,1914,"['German', 'France', 'French', 'British']",['World War I'],United Kingdom,Germany,,,5.0,Land,ANE1914,No,"Clodfelter, Warfare and Armed Conflict, p391. Two French armies plus the British expeditionary force versus three German armies. Over 500,000 menhttp://www.gwpda.org/maps/westpoint/WWOne10.gif",1,,The Battle of the Aisne is the name of three battles fought along the Aisne River in northern France during the First World War.
Aisne1917,France,49.4765586,3.3547166,19,Aisne,1917,['French'],['World War I'],Germany,"France, United Kingdom",,,4.0,Land,ANE1917,No,"Encyclopedia of Warfare, Showalter, 2014, p777; Shapefile http://www.gwpda.org/maps/westpoint/WWOne16.jpg",,,The Battle of the Aisne is the name of three battles fought along the Aisne River in northern France during the First World War.
Aisne1918,France,49.4765586,3.3547166,19,Aisne,1918,"['German', 'Anglo-French']",['World War I'],Germany,"France, United Kingdom",,,5.0,Land,,No,"Harbottle's Dictionary of Battles, George Bruce, 1979, p13-14. German attack consisted of 41 divisions (over 600,000 men assuming 17,000 men per division as in Clodfelter, p387)",,,The Battle of the Aisne is the name of three battles fought along the Aisne River in northern France during the First World War.
